Ranking,Empresa,Pontos,Link,ID
1,Natura,812,https://100os.app/startup/?eventcode=conexao_natura,959
2,ArcelorMittal,752,https://100os.app/startup/?eventcode=conexao_arcelormittal,958
3,BMG,693,https://100os.app/startup/?eventcode=conexao_bmg,957
4,EDP,377,https://100os.app/startup/?eventcode=conexao_edp,956
5,Alelo,272,https://100os.app/startup/?eventcode=conexao_alelo,955
6,BASF,271,https://100os.app/startup/?eventcode=conexao_basf,954
7,Raízen,256,https://100os.app/startup/?eventcode=conexao_raizen,953
8,Unilever,253,https://100os.app/startup/?eventcode=conexao_unilever,950
9,Nestlé,246,https://100os.app/startup/?eventcode=conexao_nestle,949
10,Accenture,236,https://100os.app/startup/?eventcode=conexao_accenture,948
11,Cogna,231,https://100os.app/startup/?eventcode=conexao_cogna,947
12,Andrade Gutierrez,229,https://100os.app/startup/?eventcode=conexao_andradegutierrez,946
13,BRF,193,https://100os.app/startup/?eventcode=conexao_brf,945
14,Saint-Gobain,187,https://100os.app/startup/?eventcode=conexao_saint-gobain,944
15,Engeform Engenharia,180,https://100os.app/startup/?eventcode=conexao_engeform,943
16,Porto Seguro,162,https://100os.app/startup/?eventcode=conexao_portoseguro,942
17,Algar Telecom,153,https://100os.app/startup/?eventcode=conexao_algartelecom,941
18,Hospital Israelita Albert Einstein,148,https://100os.app/startup/?eventcode=conexao_hospitalalberteinstein,940
19,Iguá Saneamento,141,https://100os.app/startup/?eventcode=conexao_iguasaneamento,939
20,Tegma,140,https://100os.app/startup/?eventcode=conexao_tegma,938
A-Z,AES Tietê,,https://100os.app/startup/?eventcode=conexao_aes,931
A-Z,Ambev,,https://100os.app/startup/?eventcode=conexao_ambev,936
A-Z,Anglo American,,https://100os.app/startup/?eventcode=conexao_angloamerican,868
A-Z,B2W Digital,,https://100os.app/startup/?eventcode=conexao_b2wdigital,873
A-Z,Bayer,,https://100os.app/startup/?eventcode=conexao_bayer,867
A-Z,Bosch,,https://100os.app/startup/?eventcode=conexao_bosch,932
A-Z,Bradesco,,https://100os.app/startup/?eventcode=conexao_bradesco,930
A-Z,Braskem,,https://100os.app/startup/?eventcode=conexao_braskem,926
A-Z,brMalls,,https://100os.app/startup/?eventcode=conexao_brmalls,895
A-Z,Burger King do Brasil,,https://100os.app/startup/?eventcode=conexao_bkbrasilsa,896
A-Z,Cargill,,https://100os.app/startup/?eventcode=conexao_cargill,871
A-Z,Carrefour,,https://100os.app/startup/?eventcode=conexao_carrefour,923
A-Z,CCP,,https://100os.app/startup/?eventcode=conexao_ccp,899
A-Z,Cielo,,https://100os.app/startup/?eventcode=conexao_cielo,863
A-Z,Cipatex,,https://100os.app/startup/?eventcode=conexao_cipatex,887
A-Z,CPFL Energia,,https://100os.app/startup/?eventcode=conexao_cpfl,893
A-Z,Cyrela,,https://100os.app/startup/?eventcode=conexao_cyrela,917
A-Z,DASA,,https://100os.app/startup/?eventcode=conexao_dasa,912
A-Z,Edenred,,https://100os.app/startup/?eventcode=conexao_edenred,864
A-Z,Eldorado Brasil,,https://100os.app/startup/?eventcode=conexao_eldoradobrasil,888
A-Z,Embraer,,https://100os.app/startup/?eventcode=conexao_embraer,858
A-Z,Empresas Randon,,https://100os.app/startup/?eventcode=conexao_randon,902
A-Z,Enel,,https://100os.app/startup/?eventcode=conexao_enel,924
A-Z,Energisa,,https://100os.app/startup/?eventcode=conexao_energisa,859
A-Z,ENGIE Brasil,,https://100os.app/startup/?eventcode=conexao_engiebrasil,885
A-Z,Eurofarma,,https://100os.app/startup/?eventcode=conexao_eurofarma,898
A-Z,Falconi,,https://100os.app/startup/?eventcode=conexao_falconi,892
A-Z,FCA Fiat Chrysler Automobiles,,https://100os.app/startup/?eventcode=conexao_fiatchryslerautomobiles,872
A-Z,Gerdau,,https://100os.app/startup/?eventcode=conexao_gerdau,934
A-Z,GJP Hotels & Resorts,,https://100os.app/startup/?eventcode=conexao_gjphotels,882
A-Z,Google,,https://100os.app/startup/?eventcode=conexao_google,875
A-Z,GPA,,https://100os.app/startup/?eventcode=conexao_gpa,935
A-Z,Grupo Boticário,,https://100os.app/startup/?eventcode=conexao_grupoboticario,925
A-Z,Grupo Fleury,,https://100os.app/startup/?eventcode=conexao_grupofleury,928
A-Z,Grupo Petrópolis,,https://100os.app/startup/?eventcode=conexao_grupopetropolis,919
A-Z,Grupo Tigre,,https://100os.app/startup/?eventcode=conexao_grupotigre,900
A-Z,Heineken,,https://100os.app/startup/?eventcode=conexao_heineken,870
A-Z,Hermes Pardini,,https://100os.app/startup/?eventcode=conexao_hermespardini,913
A-Z,iFood,,https://100os.app/startup/?eventcode=conexao_ifood,877
A-Z,Itaú,,https://100os.app/startup/?eventcode=conexao_itau,878
A-Z,Johnson & Johnson,,https://100os.app/startup/?eventcode=conexao_jnj,906
A-Z,Klabin,,https://100os.app/startup/?eventcode=conexao_klabin,937
A-Z,Koerich,,https://100os.app/startup/?eventcode=conexao_koerich,865
A-Z,Laureate International Universities,,https://100os.app/startup/?eventcode=conexao_laureate,890
A-Z,Leroy Merlin,,https://100os.app/startup/?eventcode=conexao_leroymerlin,927
A-Z,LG Electronics,,https://100os.app/startup/?eventcode=conexao_lgelectronics,876
A-Z,Loft,,https://100os.app/startup/?eventcode=conexao_loft,894
A-Z,M. Dias Branco,,https://100os.app/startup/?eventcode=conexao_m.diasbranco,881
A-Z,Mercedes-Benz,,https://100os.app/startup/?eventcode=conexao_mercedes_benz,901
A-Z,Nexa Resources,,https://100os.app/startup/?eventcode=conexao_nexaresources,897
A-Z,Oi,,https://100os.app/startup/?eventcode=conexao_oi,879
A-Z,PareBem Estacionamentos,,https://100os.app/startup/?eventcode=conexao_parebem,860
A-Z,Petrobras,,https://100os.app/startup/?eventcode=conexao_petrobras,883
A-Z,Philip Morris Brasil,,https://100os.app/startup/?eventcode=conexao_philipmorrisbrasil,915
A-Z,Positivo Tecnologia,,https://100os.app/startup/?eventcode=conexao_positivotecnologia,904
A-Z,Procter & Gamble,,https://100os.app/startup/?eventcode=conexao_png,886
A-Z,Renault,,https://100os.app/startup/?eventcode=conexao_renault,918
A-Z,Roche,,https://100os.app/startup/?eventcode=conexao_roche,920
A-Z,Samsung Electronics,,https://100os.app/startup/?eventcode=conexao_samsung,861
A-Z,SAP,,https://100os.app/startup/?eventcode=conexao_sap,914
A-Z,Sicredi,,https://100os.app/startup/?eventcode=conexao_sicredi,903
A-Z,Sodexo,,https://100os.app/startup/?eventcode=conexao_sodexo,911
A-Z,Softplan,,https://100os.app/startup/?eventcode=conexao_softplan,874
A-Z,Sompo Seguros,,https://100os.app/startup/?eventcode=conexao_somposeguros,862
A-Z,SulAmérica,,https://100os.app/startup/?eventcode=conexao_sulamerica,910
A-Z,Suzano,,https://100os.app/startup/?eventcode=conexao_suzano,929
A-Z,TOTVS,,https://100os.app/startup/?eventcode=conexao_totvs,933
A-Z,Ultragaz,,https://100os.app/startup/?eventcode=conexao_ultragaz,907
A-Z,Unidas,,https://100os.app/startup/?eventcode=conexao_unidas,880
A-Z,Unimed-BH,,https://100os.app/startup/?eventcode=conexao_unimedbh,891
A-Z,Usiminas,,https://100os.app/startup/?eventcode=conexao_usiminas,905
A-Z,Vale,,https://100os.app/startup/?eventcode=conexao_vale,916
A-Z,Vedacit,,https://100os.app/startup/?eventcode=conexao_vedacit,922
A-Z,Via Varejo,,https://100os.app/startup/?eventcode=conexao_viavarejo,921
A-Z,Visa,,https://100os.app/startup/?eventcode=conexao_visa,884
A-Z,VLI Logística,,https://100os.app/startup/?eventcode=conexao_vlilogistica,909
A-Z,VR Benefícios,,https://100os.app/startup/?eventcode=conexao_vrbeneficios,908
A-Z,Whirlpool Corporation,,https://100os.app/startup/?eventcode=conexao_whirlpool,889
A-Z,XP Investimentos,,https://100os.app/startup/?eventcode=conexao_xpinvestimentos,869
A-Z,Yduqs,,https://100os.app/startup/?eventcode=conexao_yduqs,866